Grapheme	Frequency	Codepoint	UnicodeName
ตำ	16	U+0E15, U+0E33	THAI CHARACTER TO TAO, THAI CHARACTER SARA AM
ต่ำ	31	U+0E15, U+0E48, U+0E33	THAI CHARACTER TO TAO, THAI CHARACTER MAI EK, THAI CHARACTER SARA AM
ติ	834	U+0E15, U+0E34	THAI CHARACTER TO TAO, THAI CHARACTER SARA I
ตี	72	U+0E15, U+0E35	THAI CHARACTER TO TAO, THAI CHARACTER SARA II
ตี้	1	U+0E15, U+0E35, U+0E49	THAI CHARACTER TO TAO, THAI CHARACTER SARA II, THAI CHARACTER MAI THO
ตึ	6	U+0E15, U+0E36	THAI CHARACTER TO TAO, THAI CHARACTER SARA UE
ตื	79	U+0E15, U+0E37	THAI CHARACTER TO TAO, THAI CHARACTER SARA UEE
ตื่	24	U+0E15, U+0E37, U+0E48	THAI CHARACTER TO TAO, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ตื้	10	U+0E15, U+0E37, U+0E49	THAI CHARACTER TO TAO, THAI CHARACTER SARA UEE, THAI CHARACTER MAI THO
ตื๊	2	U+0E15, U+0E37, U+0E4A	THAI CHARACTER TO TAO, THAI CHARACTER SARA UEE, THAI CHARACTER MAI TRI
ตุ	109	U+0E15, U+0E38	THAI CHARACTER TO TAO, THAI CHARACTER SARA U
ตุ้	6	U+0E15, U+0E38, U+0E49	THAI CHARACTER TO TAO, THAI CHARACTER SARA U, THAI CHARACTER MAI THO
ตุ๋	2	U+0E15, U+0E38, U+0E4B	THAI CHARACTER TO TAO, THAI CHARACTER SARA U, THAI CHARACTER MAI CHATTAWA
ตู	83	U+0E15, U+0E39	THAI CHARACTER TO TAO, THAI CHARACTER SARA UU
ถ	726	U+0E16	THAI CHARACTER THO THUNG
ถ่	40	U+0E16, U+0E48	THAI CHARACTER THO THUNG, THAI CHARACTER MAI EK
ถ้	844	U+0E16, U+0E49	THAI CHARACTER THO THUNG, THAI CHARACTER MAI THO
ถั	22	U+0E16, U+0E31	THAI CHARACTER THO THUNG, THAI CHARACTER MAI HAN-AKAT
ถ้ำ	2	U+0E16, U+0E49, U+0E33	THAI CHARACTER THO THUNG, THAI CHARACTER MAI THO, THAI CHARACTER SARA AM
ถิ	64	U+0E16, U+0E34	THAI CHARACTER THO THUNG, THAI CHARACTER SARA I
ถิ่	3	U+0E16, U+0E34, U+0E48	THAI CHARACTER THO THUNG, THAI CHARACTER SARA I, THAI CHARACTER MAI EK
ถี	41	U+0E16, U+0E35	THAI CHARACTER THO THUNG, THAI CHARACTER SARA II
ถี่	1	U+0E16, U+0E35, U+0E48	THAI CHARACTER THO THUNG, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ถึ	1206	U+0E16, U+0E36	THAI CHARACTER THO THUNG, THAI CHARACTER SARA UE
ถื	179	U+0E16, U+0E37	THAI CHARACTER THO THUNG, THAI CHARACTER SARA UEE
ถื่	2	U+0E16, U+0E37, U+0E48	THAI CHARACTER THO THUNG, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ถุ	45	U+0E16, U+0E38	THAI CHARACTER THO THUNG, THAI CHARACTER SARA U
ถู	758	U+0E16, U+0E39	THAI CHARACTER THO THUNG, THAI CHARACTER SARA UU
ท	3011	U+0E17	THAI CHARACTER THO THAHAN
ท็	12	U+0E17, U+0E47	THAI CHARACTER THO THAHAN, THAI CHARACTER MAITAIKHU
